id,thematic_lot,title,subtheme,subsubtheme,download_url
14039,EMODnet Biology,Abundance of Loggerhead Turtles in the Mediterranean Sea,Reptiles,Loggerhead Turtles in the Mediterranean Sea,https://erddap.emodnet.eu/erddap/files/biology_8514_94a0_0784_7406/density_loggerhead_mediterranean_8514_epsg_3035.nc
13406,EMODnet Biology,Coefficient of Variation of Loggerhead Turtles in the Mediterranean Sea,Reptiles,Loggerhead Turtles in the Mediterranean Sea,https://erddap.emodnet.eu/erddap/files/biology_8514_94a0_0784_7406/density_loggerhead_mediterranean_8514_epsg_3035.nc
12979,EMODnet Biology,Calanus temporal change using nDIVA interpolation and multivariate analysis (Abundance),Zooplankton biomass and diversity,Calanus helgolandicus and finmarchicus temporal change,https://erddap.emodnet.eu/erddap/files/biology_8220_a8b5_8cec_1c23/calanus_finmarchicus_helgolandicus_year.nc
12984,EMODnet Biology,Calanus temporal change using nDIVA interpolation and multivariate analysis (Error),Zooplankton biomass and diversity,Calanus helgolandicus and finmarchicus temporal change,https://erddap.emodnet.eu/erddap/files/biology_8220_a8b5_8cec_1c23/calanus_finmarchicus_helgolandicus_year.nc
12959,EMODnet Chemistry,Beaches locations and litter list used - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_beacheslocations_monitoring.zip
11997,EMODnet Chemistry,Beach Litter - Composition of litter according to material categories in percent - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_materialcategories_monitoring.zip
11999,EMODnet Chemistry,Beach Litter - Median number of cigarette related items per 100m & to 1 survey - UNEP_MARLIN only - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_cigarette_unep_marlin_monitoring.zip
11998,EMODnet Chemistry,Beach Litter - Median number of cigarette related items per 100m & to 1 survey - without UNEP_MARLIN - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_cigarette_monitoring.zip
12000,EMODnet Chemistry,Beach Litter - Median number of fishing and aquaculture related plastic items per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_fishing_monitoring.zip
12001,EMODnet Chemistry,Beach Litter - Median number of plastic bags related items per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_plasticbags_monitoring.zip
12521,EMODnet Chemistry,Beach litter - Single use plastics (SUP) related items abundance normalized per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_singleuse_monitoring.zip
11996,EMODnet Chemistry,Beach Litter - Median total number of litter items per 100m & to 1 survey - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_totalabundance_monitoring.zip
11995,EMODnet Chemistry,No. of surveys & temporal coverage per beach - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_temporalcoverage_numbersurveys_monitoring.zip
12519,EMODnet Chemistry,Beach litter - Total abundance (Nb. Items) of litter aggregated over a given period per beach - Official monitoring,Beach Litter,EU-MSFD monitoring,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_tot_abundance_all_years_beach_monitoring.zip
12002,EMODnet Chemistry,Beaches locations and litter list used - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_beacheslocations_other.zip
12005,EMODnet Chemistry,Beach Litter - Composition of litter according to material categories in percent normalized per beach per year - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_materialcategories_other.zip
12006,EMODnet Chemistry,Beach Litter - Median number of cigarette related items per 100m & to 1 survey - without UNEP_MARLIN - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_cigarette_other.zip
12007,EMODnet Chemistry,Beach Litter - Median number of fishing and aquaculture related plastic items per 100m & to 1 survey - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_fishing_other.zip
12008,EMODnet Chemistry,Beach Litter - Median number of plastic bags related items per 100m & to 1 survey - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_plasticbags_other.zip
12520,EMODnet Chemistry,Beach litter - Single use plastics (SUP) related items abundance normalized per 100m & to 1 survey - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_singleuse_other.zip
12004,EMODnet Chemistry,Beach Litter - Median number of total abundance items per 100m & to 1 survey - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_totalabundance_other.zip
12003,EMODnet Chemistry,Number of surveys & temporal coverage - Other sources,Beach Litter,Other sources,https://sextant.ifremer.fr/sextant_data/EMODNET/CHEMISTRY/MARINE_LITTER/2023/bl_temporalcoverage_numbersurveys_other.zip
13169,EMODnet Chemistry,Antifoulants - Tributyltin  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/tributyltin_concentration_median_values.zip
13170,EMODnet Chemistry,Antifoulants - Triphenyltin  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/triphenyltin_concentration_median_values.zip
13172,EMODnet Chemistry,Heavy metals - Cadmium  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/cadmium_concentration_median_values.zip
13173,EMODnet Chemistry,Heavy metals - Lead  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/lead_concentration_median_values.zip
13171,EMODnet Chemistry,Heavy metals - Mercury  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/merury_concentration_median_values.zip
13174,EMODnet Chemistry,Heavy metals - Nickel  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/nickel_concentration_median_values.zip
13175,EMODnet Chemistry,Hydrocarbons (PAH) - Anthracene  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/anthracene_concentration_median_values.zip
13177,EMODnet Chemistry,Hydrocarbons (PAH) - Benzo(a)pyrene  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/benzo_a_pyrene_concentration_median_values.zip
13176,EMODnet Chemistry,Hydrocarbons (PAH) - Fluoranthene  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/fluoranthene_concentration_median_values.zip
13178,EMODnet Chemistry,Hydrocarbons (PAH) - Naphthalene  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/naphthalene_concentration_median_values.zip
13167,EMODnet Chemistry,Pesticides and biocides - DDT-DDE-DDD (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/all_ddt_concentration_median_values.zip
13168,EMODnet Chemistry,Pesticides and biocides - Hexachlorobenzene  (median values),Contaminants,Concentration values,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map3_Median_Values/hexachlorobenzene_concentration_median_values.zip
14080,EMODnet Chemistry,Heavy metals - Cadmium (measurements percentages),Contaminants,Contaminants in marine organisms,https://clohttps://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/CadmiumPercentages_and_Data_2024.rar
14081,EMODnet Chemistry,Heavy metals - Lead (measurements percentages),Contaminants,Contaminants in marine organisms,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/LeadPercentages_and_Data_2024.rar
14079,EMODnet Chemistry,Heavy metals - Mercury (measurements percentages),Contaminants,Contaminants in marine organisms,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/MercuryPercentages_and_Data_2024.rar
14082,EMODnet Chemistry,Heavy metals - Nickel (measurements percentages),Contaminants,Contaminants in marine organisms,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/NickelPercentages_and_Data_2024.rar
14084,EMODnet Chemistry,Hydrocarbons (PAH) - Benzo(a)pyrene (measurements percentages),Contaminants,Contaminants in marine organisms,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/Benzo(a)pyrenePercentages_and_Data_2024.rar
14083,EMODnet Chemistry,Hydrocarbons (PAH) - Fluoranthene (measurements percentages),Contaminants,Contaminants in marine organisms,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/FluoranthenePercentages_and_Data_2024.rar
14077,EMODnet Chemistry,Pesticides and biocides - DDT-DDE-DDD (measurements percentages),Contaminants,Contaminants in marine organisms,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/DDTPercentages_and_Data_2024.rar
14078,EMODnet Chemistry,Pesticides and biocides - Hexachlorobenzene (measurements percentages),Contaminants,Contaminants in marine organisms,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map4_In_Marine_Organisims/v2024/HexachlorobenzenePercentages_and_Data_2024.rar
14095,EMODnet Chemistry,Antifoulants - Tributyltin (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/TBTCountsAllYears_and_Data_2024.rar
13157,EMODnet Chemistry,Antifoulants - Tributyltin (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/TBTCountsPerYear_and_Data_2024.rar
13158,EMODnet Chemistry,Antifoulants - Triphenyltin  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/TPTCountsPerYear_and_Data_2024.rar
14096,EMODnet Chemistry,Antifoulants - Triphenyltin (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/TPTCountsAllYears_and_Data_2024.rar
13160,EMODnet Chemistry,Heavy metals - Cadmium  (measurements counts),Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/CadmiumCountsPerYear_and_Data_2024.rar
14088,EMODnet Chemistry,Heavy metals - Cadmium (measurements counts) All Years,Contaminants,Measurements Counts,https://cloudfiles.hcmr.gr/emodnet/emodnet_chemistry/Map2_Measurements_Counts/v2024/CadmiumCountsAllYears_and_Data_2024.rar
